zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_34.5_27.0,2023,2,2023-S2,Diminution,72.7,8.9,72.7,18.5,Stable,False
z_34.5_27.0,2024,1,2024-S1,Stable,62.2,33.8,4.0,62.2,Stable,True
z_34.5_27.0,2024,2,2024-S2,Diminution,83.3,2.4,83.3,14.3,Diminution,True
z_34.5_27.0,2025,1,2025-S1,Stable,89.3,6.7,4.0,89.3,Stable,True
z_34.5_27.0,2025,2,2025-S2,Diminution,79.1,4.9,79.1,16.0,Diminution,True
z_34.5_31.5,2023,1,2023-S1,Diminution,48.9,25.4,48.9,25.7,Diminution,True
z_34.5_31.5,2023,2,2023-S2,Diminution,42.1,34.5,42.1,23.4,Stable,False
z_34.5_31.5,2024,1,2024-S1,Augmentation,40.3,40.3,36.0,23.7,Diminution,False
z_34.5_31.5,2024,2,2024-S2,Diminution,39.1,37.8,39.1,23.2,Stable,False
z_34.5_31.5,2025,1,2025-S1,Diminution,58.8,24.6,58.8,16.6,Diminution,True
z_34.5_31.5,2025,2,2025-S2,Diminution,68.8,10.4,68.8,20.7,Stable,False
z_34.5_33.0,2023,1,2023-S1,Augmentation,59.6,59.6,12.7,27.8,Augmentation,True
z_34.5_33.0,2023,2,2023-S2,Diminution,51.3,34.7,51.3,14.0,Augmentation,False
z_34.5_33.0,2024,1,2024-S1,Augmentation,57.1,57.1,12.5,30.4,Stable,False
z_34.5_33.0,2024,2,2024-S2,Augmentation,50.0,50.0,37.8,12.2,Stable,False
z_34.5_33.0,2025,1,2025-S1,Augmentation,58.8,58.8,13.5,27.8,Augmentation,True
z_34.5_33.0,2025,2,2025-S2,Augmentation,53.3,53.3,35.1,11.6,Diminution,False
z_36.0_-1.5,2023,1,2023-S1,Stable,70.2,26.6,3.2,70.2,Stable,True
z_36.0_-1.5,2023,2,2023-S2,Stable,92.2,4.6,3.3,92.2,Stable,True
z_36.0_-1.5,2024,1,2024-S1,Stable,88.6,7.6,3.8,88.6,Stable,True
z_36.0_-1.5,2024,2,2024-S2,Stable,89.4,6.2,4.4,89.4,Stable,True
z_36.0_-1.5,2025,1,2025-S1,Stable,92.3,4.0,3.7,92.3,Stable,True
z_36.0_-1.5,2025,2,2025-S2,Stable,89.7,7.7,2.7,89.7,Stable,True
z_36.0_-10.5,2023,1,2023-S1,Augmentation,52.5,52.5,3.8,43.7,Stable,False
z_36.0_-10.5,2023,2,2023-S2,Diminution,40.6,32.8,40.6,26.6,Stable,False
z_36.0_-10.5,2024,1,2024-S1,Augmentation,56.6,56.6,6.3,37.1,Stable,False
z_36.0_-10.5,2024,2,2024-S2,Diminution,67.1,13.9,67.1,18.9,Stable,False
z_36.0_-10.5,2025,1,2025-S1,Augmentation,62.8,62.8,7.2,29.9,Augmentation,True
z_36.0_-10.5,2025,2,2025-S2,Diminution,49.7,27.3,49.7,23.0,Stable,False
z_36.0_-12.0,2023,1,2023-S1,Stable,98.6,0.2,1.2,98.6,Stable,True
z_36.0_-12.0,2024,1,2024-S1,Stable,98.1,0.7,1.1,98.1,Stable,True
z_36.0_-12.0,2025,1,2025-S1,Stable,98.9,0.2,1.0,98.9,Stable,True
z_36.0_-3.0,2023,1,2023-S1,Augmentation,52.8,52.8,36.9,10.3,Augmentation,True
