economie,annee,type_navire,nombre_navires
Anguilla,2018,Vraquiers,0
Anguilla,2018,Navires de charge classique,0
Anguilla,2018,Porte-conteneurs,0
Anguilla,2018,Autres navires,1
Anguilla,2019,Flotte totale,2
Anguilla,2019,Petroliers,0
Anguilla,2019,Vraquiers,0
Anguilla,2019,Navires de charge classique,0
Anguilla,2019,Porte-conteneurs,0
Anguilla,2019,Autres navires,2
Anguilla,2020,Flotte totale,2
Anguilla,2020,Petroliers,0
Anguilla,2020,Vraquiers,0
Anguilla,2020,Navires de charge classique,0
Anguilla,2020,Porte-conteneurs,0
Anguilla,2020,Autres navires,2
Anguilla,2021,Flotte totale,2
Anguilla,2021,Petroliers,0
Anguilla,2021,Vraquiers,0
Anguilla,2021,Navires de charge classique,0
Anguilla,2021,Porte-conteneurs,0
Anguilla,2021,Autres navires,2
Anguilla,2022,Flotte totale,1
Anguilla,2022,Petroliers,0
Anguilla,2022,Vraquiers,0
Anguilla,2022,Navires de charge classique,0
Anguilla,2022,Porte-conteneurs,0
Anguilla,2022,Autres navires,1
Anguilla,2023,Flotte totale,1
Anguilla,2023,Petroliers,0
Anguilla,2023,Vraquiers,0
Anguilla,2023,Navires de charge classique,0
Anguilla,2023,Porte-conteneurs,0
Anguilla,2023,Autres navires,1
Anguilla,2024,Flotte totale,1
Anguilla,2024,Petroliers,0
Anguilla,2024,Vraquiers,0
Anguilla,2024,Navires de charge classique,0
Anguilla,2024,Porte-conteneurs,0
Anguilla,2024,Autres navires,1
Anguilla,2025,Flotte totale,1
Anguilla,2025,Petroliers,0
Anguilla,2025,Vraquiers,0
Anguilla,2025,Navires de charge classique,0
Anguilla,2025,Porte-conteneurs,0
Anguilla,2025,Autres navires,1
Anguilla,2026,Flotte totale,1
Anguilla,2026,Petroliers,0
Anguilla,2026,Vraquiers,0
Anguilla,2026,Navires de charge classique,0
Anguilla,2026,Porte-conteneurs,0
Anguilla,2026,Autres navires,1
Antigua-et-Barbuda,2011,Flotte totale,1193
Antigua-et-Barbuda,2011,Petroliers,3
Antigua-et-Barbuda,2011,Vraquiers,35
Antigua-et-Barbuda,2011,Navires de charge classique,691
Antigua-et-Barbuda,2011,Porte-conteneurs,391
Antigua-et-Barbuda,2011,Autres navires,73
Antigua-et-Barbuda,2012,Flotte totale,1295
Antigua-et-Barbuda,2012,Petroliers,2
Antigua-et-Barbuda,2012,Vraquiers,42
Antigua-et-Barbuda,2012,Navires de charge classique,751
Antigua-et-Barbuda,2012,Porte-conteneurs,423
Antigua-et-Barbuda,2012,Autres navires,77
Antigua-et-Barbuda,2013,Flotte totale,1276
Antigua-et-Barbuda,2013,Petroliers,3
Antigua-et-Barbuda,2013,Vraquiers,39
Antigua-et-Barbuda,2013,Navires de charge classique,748
Antigua-et-Barbuda,2013,Porte-conteneurs,407
Antigua-et-Barbuda,2013,Autres navires,79
Antigua-et-Barbuda,2014,Flotte totale,1207
Antigua-et-Barbuda,2014,Petroliers,3
Antigua-et-Barbuda,2014,Vraquiers,35
Antigua-et-Barbuda,2014,Navires de charge classique,722
Antigua-et-Barbuda,2014,Porte-conteneurs,368
Antigua-et-Barbuda,2014,Autres navires,79
Antigua-et-Barbuda,2015,Flotte totale,1140
Antigua-et-Barbuda,2015,Petroliers,3
Antigua-et-Barbuda,2015,Vraquiers,35
Antigua-et-Barbuda,2015,Navires de charge classique,688
Antigua-et-Barbuda,2015,Porte-conteneurs,334
Antigua-et-Barbuda,2015,Autres navires,80
Antigua-et-Barbuda,2016,Flotte totale,1050
Antigua-et-Barbuda,2016,Petroliers,2
Antigua-et-Barbuda,2016,Vraquiers,32
Antigua-et-Barbuda,2016,Navires de charge classique,654
Antigua-et-Barbuda,2016,Porte-conteneurs,284
Antigua-et-Barbuda,2016,Autres navires,78
Antigua-et-Barbuda,2017,Flotte totale,956
Antigua-et-Barbuda,2017,Petroliers,2
Antigua-et-Barbuda,2017,Vraquiers,37
Antigua-et-Barbuda,2017,Navires de charge classique,611
Antigua-et-Barbuda,2017,Porte-conteneurs,235
Antigua-et-Barbuda,2017,Autres navires,71
Antigua-et-Barbuda,2018,Flotte totale,843
Antigua-et-Barbuda,2018,Petroliers,2
Antigua-et-Barbuda,2018,Vraquiers,33
Antigua-et-Barbuda,2018,Navires de charge classique,558
Antigua-et-Barbuda,2018,Porte-conteneurs,188
Antigua-et-Barbuda,2018,Autres navires,62
Antigua-et-Barbuda,2019,Flotte totale,774
Antigua-et-Barbuda,2019,Petroliers,2
Antigua-et-Barbuda,2019,Vraquiers,32
Antigua-et-Barbuda,2019,Navires de charge classique,533
Antigua-et-Barbuda,2019,Porte-conteneurs,150
Antigua-et-Barbuda,2019,Autres navires,57
Antigua-et-Barbuda,2020,Flotte totale,718
Antigua-et-Barbuda,2020,Petroliers,2
Antigua-et-Barbuda,2020,Vraquiers,27
Antigua-et-Barbuda,2020,Navires de charge classique,501
Antigua-et-Barbuda,2020,Porte-conteneurs,135
Antigua-et-Barbuda,2020,Autres navires,53
Antigua-et-Barbuda,2021,Flotte totale,673
Antigua-et-Barbuda,2021,Petroliers,2
Antigua-et-Barbuda,2021,Vraquiers,24
Antigua-et-Barbuda,2021,Navires de charge classique,469
