zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_31.5_-18.0,9,2024,9,Stable,62.2,28.6,9.2,62.2,Stable,True
z_31.5_-18.0,10,2024,10,Stable,59.0,33.0,8.0,59.0,Stable,True
z_31.5_-18.0,11,2024,11,Stable,62.1,28.9,9.0,62.1,Stable,True
z_31.5_-18.0,1,2025,1,Stable,64.0,27.0,8.9,64.0,Stable,True
z_31.5_-18.0,2,2025,2,Stable,62.1,28.3,9.6,62.1,Stable,True
z_31.5_-18.0,3,2025,3,Stable,61.0,27.7,11.2,61.0,Diminution,False
z_31.5_-18.0,4,2025,4,Stable,61.3,27.9,10.8,61.3,Stable,True
z_31.5_-18.0,6,2025,6,Stable,57.3,33.7,9.0,57.3,Stable,True
z_31.5_-18.0,7,2025,7,Stable,57.0,35.7,7.3,57.0,Stable,True
z_31.5_-18.0,9,2025,9,Stable,62.2,28.6,9.2,62.2,Stable,True
z_31.5_-18.0,10,2025,10,Stable,60.8,31.0,8.2,60.8,Stable,True
z_31.5_-18.0,11,2025,11,Stable,62.1,28.9,9.0,62.1,Stable,True
z_31.5_31.5,1,2023,1,Stable,67.8,29.5,2.7,67.8,Stable,True
z_31.5_31.5,2,2023,2,Stable,66.8,30.4,2.8,66.8,Diminution,False
z_31.5_31.5,3,2023,3,Stable,62.3,34.9,2.7,62.3,Stable,True
z_31.5_31.5,1,2024,1,Stable,67.8,29.5,2.7,67.8,Stable,True
z_31.5_31.5,2,2024,2,Stable,66.8,30.4,2.8,66.8,Diminution,False
z_31.5_31.5,3,2024,3,Stable,66.3,31.0,2.8,66.3,Stable,True
z_31.5_31.5,1,2025,1,Stable,67.8,29.5,2.7,67.8,Stable,True
z_31.5_31.5,2,2025,2,Stable,66.8,30.4,2.8,66.8,Diminution,False
z_31.5_31.5,3,2025,3,Stable,66.9,30.0,3.1,66.9,Stable,True
z_33.0_-13.5,4,2023,4,Stable,67.3,28.3,4.4,67.3,Stable,True
z_33.0_-13.5,12,2023,12,Stable,66.8,29.2,4.0,66.8,Stable,True
z_33.0_-13.5,4,2024,4,Stable,66.3,28.7,4.9,66.3,Stable,True
z_33.0_-13.5,12,2024,12,Stable,67.3,28.6,4.1,67.3,Stable,True
z_33.0_-13.5,4,2025,4,Stable,66.3,28.7,4.9,66.3,Stable,True
z_33.0_-13.5,12,2025,12,Stable,67.3,28.6,4.1,67.3,Stable,True
z_33.0_-9.0,1,2023,1,Stable,64.2,33.9,1.9,64.2,Stable,True
z_33.0_-9.0,2,2023,2,Stable,67.3,30.8,1.9,67.3,Diminution,False
z_33.0_-9.0,3,2023,3,Stable,67.4,30.5,2.2,67.4,Stable,True
z_33.0_-9.0,4,2023,4,Stable,66.8,31.1,2.1,66.8,Stable,True
z_33.0_-9.0,5,2023,5,Stable,65.7,31.8,2.4,65.7,Stable,True
z_33.0_-9.0,7,2023,7,Stable,59.1,39.5,1.5,59.1,Stable,True
z_33.0_-9.0,10,2023,10,Stable,64.4,34.0,1.6,64.4,Stable,True
z_33.0_-9.0,11,2023,11,Stable,64.6,34.1,1.3,64.6,Stable,True
z_33.0_-9.0,12,2023,12,Stable,66.6,31.8,1.7,66.6,Diminution,False
z_33.0_-9.0,1,2024,1,Stable,68.1,30.3,1.6,68.1,Stable,True
z_33.0_-9.0,2,2024,2,Stable,67.3,30.9,1.8,67.3,Diminution,False
z_33.0_-9.0,3,2024,3,Stable,67.1,30.7,2.2,67.1,Stable,True
z_33.0_-9.0,4,2024,4,Stable,67.9,30.0,2.1,67.9,Stable,True
z_33.0_-9.0,5,2024,5,Stable,65.7,31.8,2.4,65.7,Stable,True
z_33.0_-9.0,7,2024,7,Stable,59.7,38.8,1.5,59.7,Stable,True
z_33.0_-9.0,10,2024,10,Stable,62.3,36.0,1.7,62.3,Stable,True
z_33.0_-9.0,11,2024,11,Stable,65.4,33.0,1.7,65.4,Stable,True
z_33.0_-9.0,12,2024,12,Stable,67.8,30.2,2.0,67.8,Diminution,False
z_33.0_-9.0,1,2025,1,Stable,64.2,33.9,1.9,64.2,Stable,True
z_33.0_-9.0,2,2025,2,Stable,67.3,30.8,1.9,67.3,Diminution,False
z_33.0_-9.0,3,2025,3,Stable,67.4,30.5,2.2,67.4,Stable,True
z_33.0_-9.0,4,2025,4,Stable,66.8,31.1,2.1,66.8,Stable,True
z_33.0_-9.0,5,2025,5,Stable,65.7,31.8,2.4,65.7,Stable,True
z_33.0_-9.0,7,2025,7,Stable,59.1,39.5,1.5,59.1,Stable,True
z_33.0_-9.0,10,2025,10,Stable,66.7,31.6,1.8,66.7,Stable,True
z_33.0_-9.0,11,2025,11,Stable,66.6,32.0,1.4,66.6,Stable,True
z_33.0_-9.0,12,2025,12,Stable,67.7,30.6,1.7,67.7,Diminution,False
z_33.0_10.5,1,2023,1,Stable,66.3,28.7,5.0,66.3,Stable,True
z_33.0_10.5,1,2024,1,Stable,66.3,28.7,5.0,66.3,Stable,True
z_33.0_10.5,1,2025,1,Stable,66.3,28.7,5.0,66.3,Stable,True
z_33.0_18.0,7,2023,7,Stable,59.8,37.1,3.1,59.8,Stable,True
z_33.0_18.0,7,2024,7,Stable,59.8,37.1,3.1,59.8,Stable,True
z_33.0_18.0,7,2025,7,Stable,59.8,37.1,3.1,59.8,Stable,True
z_33.0_25.5,5,2023,5,Stable,63.0,29.9,7.1,63.0,Stable,True
z_33.0_25.5,5,2024,5,Stable,63.0,29.9,7.1,63.0,Stable,True
z_33.0_25.5,5,2025,5,Stable,58.9,34.3,6.9,58.9,Stable,True
z_34.5_-1.5,1,2023,1,Stable,66.8,29.0,4.2,66.8,Stable,True
z_34.5_-1.5,3,2023,3,Stable,64.7,29.5,5.8,64.7,Stable,True
z_34.5_-1.5,5,2023,5,Stable,64.2,29.8,5.9,64.2,Stable,True
z_34.5_-1.5,6,2023,6,Stable,60.6,35.7,3.7,60.6,Stable,True
z_34.5_-1.5,7,2023,7,Stable,60.0,37.0,3.0,60.0,Stable,True
z_34.5_-1.5,9,2023,9,Stable,65.3,31.4,3.3,65.3,Stable,True
z_34.5_-1.5,1,2024,1,Stable,66.8,29.0,4.2,66.8,Stable,True
z_34.5_-1.5,3,2024,3,Stable,64.7,29.5,5.8,64.7,Stable,True
z_34.5_-1.5,5,2024,5,Stable,64.2,29.8,5.9,64.2,Stable,True
z_34.5_-1.5,6,2024,6,Stable,54.9,42.1,3.0,54.9,Diminution,False
z_34.5_-1.5,7,2024,7,Stable,59.7,37.1,3.2,59.7,Stable,True
z_34.5_-1.5,9,2024,9,Stable,65.5,30.6,3.9,65.5,Stable,True
z_34.5_-1.5,1,2025,1,Stable,66.8,29.0,4.2,66.8,Stable,True
z_34.5_-1.5,3,2025,3,Stable,64.7,29.5,5.8,64.7,Stable,True
z_34.5_-1.5,5,2025,5,Stable,64.2,29.8,5.9,64.2,Stable,True
z_34.5_-1.5,6,2025,6,Stable,58.7,38.5,2.8,58.7,Diminution,False
z_34.5_-1.5,7,2025,7,Stable,59.7,37.1,3.2,59.7,Stable,True
z_34.5_-1.5,9,2025,9,Stable,65.5,30.6,3.9,65.5,Stable,True
z_34.5_-10.5,3,2023,3,Stable,62.2,28.4,9.5,62.2,Stable,True
z_34.5_-10.5,11,2023,11,Stable,63.1,29.4,7.5,63.1,Stable,True
z_34.5_-10.5,3,2024,3,Stable,62.2,28.4,9.5,62.2,Stable,True
z_34.5_-10.5,11,2024,11,Stable,63.1,29.4,7.5,63.1,Stable,True
z_34.5_-10.5,3,2025,3,Stable,57.4,33.4,9.2,57.4,Stable,True
z_34.5_-10.5,11,2025,11,Stable,63.1,29.4,7.5,63.1,Stable,True
z_34.5_-4.5,1,2023,1,Stable,68.6,28.5,3.0,68.6,Diminution,False
z_34.5_-4.5,4,2023,4,Stable,62.7,33.7,3.6,62.7,Stable,True
z_34.5_-4.5,5,2023,5,Stable,66.0,29.9,4.1,66.0,Stable,True
z_34.5_-4.5,6,2023,6,Stable,61.8,35.3,3.0,61.8,Stable,True
z_34.5_-4.5,7,2023,7,Stable,60.6,37.6,1.8,60.6,Stable,True
z_34.5_-4.5,10,2023,10,Stable,65.1,32.6,2.3,65.1,Stable,True
