zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_37.5_24.0,2024,Augmentation,59.8,59.8,19.2,21.0,Stable,False
z_37.5_24.0,2025,Augmentation,56.6,56.6,20.2,23.2,Diminution,False
z_37.5_25.5,2023,Augmentation,37.2,37.2,24.6,38.3,Augmentation,True
z_37.5_25.5,2024,Augmentation,39.3,39.3,22.4,38.3,Diminution,False
z_37.5_25.5,2025,Stable,41.1,32.3,26.6,41.1,Stable,True
z_37.5_27.0,2023,Stable,42.0,29.3,28.6,42.0,Diminution,False
z_37.5_27.0,2024,Stable,50.3,25.6,24.1,50.3,Diminution,False
z_37.5_27.0,2025,Augmentation,35.7,35.7,29.1,35.2,Stable,False
z_37.5_4.5,2023,Diminution,48.0,16.2,48.0,35.8,Stable,False
z_37.5_4.5,2024,Diminution,42.4,21.4,42.4,36.1,Diminution,True
z_37.5_4.5,2025,Diminution,45.1,19.7,45.1,35.2,Diminution,True
z_37.5_6.0,2023,Diminution,57.3,15.5,57.3,27.2,Diminution,True
z_37.5_6.0,2024,Diminution,60.8,9.0,60.8,30.2,Stable,False
z_37.5_6.0,2025,Diminution,60.4,14.2,60.4,25.4,Diminution,True
z_37.5_7.5,2023,Stable,57.0,26.7,16.3,57.0,Diminution,False
z_37.5_7.5,2024,Augmentation,42.2,42.2,18.8,39.0,Stable,False
z_37.5_7.5,2025,Stable,53.7,28.2,18.1,53.7,Stable,True
z_37.5_9.0,2023,Augmentation,39.8,39.8,26.1,34.2,Diminution,False
z_37.5_9.0,2024,Augmentation,41.0,41.0,19.5,39.5,Augmentation,True
z_37.5_9.0,2025,Augmentation,43.3,43.3,18.8,37.9,Diminution,False
z_39.0_-1.5,2023,Augmentation,71.0,71.0,11.6,17.4,Augmentation,True
z_39.0_-1.5,2024,Augmentation,70.0,70.0,10.1,19.9,Stable,False
z_39.0_-1.5,2025,Augmentation,60.1,60.1,13.8,26.0,Augmentation,True
z_39.0_-10.5,2023,Augmentation,51.5,51.5,16.9,31.5,Augmentation,True
z_39.0_-10.5,2024,Augmentation,64.4,64.4,11.1,24.5,Diminution,False
z_39.0_-10.5,2025,Augmentation,41.0,41.0,28.2,30.7,Augmentation,True
z_39.0_-31.5,2023,Diminution,68.6,12.3,68.6,19.2,Diminution,True
z_39.0_-31.5,2024,Diminution,74.6,4.2,74.6,21.3,Diminution,True
z_39.0_-31.5,2025,Diminution,84.4,2.0,84.4,13.6,Stable,False
z_39.0_-9.0,2023,Augmentation,51.2,51.2,19.0,29.8,Diminution,False
z_39.0_-9.0,2024,Augmentation,45.6,45.6,22.4,32.1,Augmentation,True
z_39.0_-9.0,2025,Augmentation,45.2,45.2,19.9,34.9,Augmentation,True
z_39.0_0.0,2023,Augmentation,45.0,45.0,22.0,33.0,Augmentation,True
z_39.0_0.0,2024,Augmentation,50.5,50.5,21.1,28.4,Augmentation,True
z_39.0_0.0,2025,Augmentation,50.1,50.1,16.3,33.6,Diminution,False
z_39.0_1.5,2023,Augmentation,52.4,52.4,17.6,30.0,Augmentation,True
z_39.0_1.5,2024,Augmentation,54.7,54.7,16.0,29.3,Diminution,False
z_39.0_1.5,2025,Augmentation,39.8,39.8,27.4,32.8,Stable,False
z_39.0_10.5,2023,Diminution,53.7,13.2,53.7,33.0,Stable,False
z_39.0_10.5,2024,Diminution,51.3,13.2,51.3,35.5,Diminution,True
z_39.0_10.5,2025,Diminution,56.5,12.7,56.5,30.7,Diminution,True
z_39.0_13.5,2023,Stable,53.3,24.3,22.3,53.3,Diminution,False
z_39.0_13.5,2024,Augmentation,36.3,36.3,23.7,40.0,Diminution,False
z_39.0_13.5,2025,Augmentation,38.0,38.0,24.3,37.7,Augmentation,True
z_39.0_15.0,2023,Augmentation,44.5,44.5,22.3,33.3,Stable,False
z_39.0_15.0,2024,Stable,47.4,30.3,22.3,47.4,Diminution,False
z_39.0_15.0,2025,Augmentation,42.3,42.3,25.8,31.9,Stable,False
z_39.0_16.5,2023,Augmentation,37.2,37.2,21.2,41.6,Stable,False
z_39.0_16.5,2024,Augmentation,50.0,50.0,23.4,26.6,Stable,False
z_39.0_16.5,2025,Augmentation,45.1,45.1,19.7,35.2,Augmentation,True
z_39.0_18.0,2023,Augmentation,61.7,61.7,15.5,22.8,Diminution,False
z_39.0_18.0,2024,Augmentation,44.4,44.4,20.8,34.8,Augmentation,True
z_39.0_18.0,2025,Augmentation,57.0,57.0,17.7,25.2,Diminution,False
z_39.0_19.5,2023,Augmentation,48.3,48.3,18.9,32.8,Diminution,False
z_39.0_19.5,2024,Augmentation,42.7,42.7,18.3,39.0,Stable,False
