zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_34.5_-1.5,2023,3,2023-T3,Diminution,57.4,6.8,57.4,35.8,Diminution,True
z_34.5_-1.5,2024,1,2024-T1,Diminution,53.4,23.0,53.4,23.6,Diminution,True
z_34.5_-1.5,2024,2,2024-T2,Diminution,72.4,8.3,72.4,19.4,Diminution,True
z_34.5_-1.5,2024,3,2024-T3,Diminution,70.7,8.1,70.7,21.2,Diminution,True
z_34.5_-1.5,2025,1,2025-T1,Diminution,76.8,6.5,76.8,16.8,Diminution,True
z_34.5_-1.5,2025,2,2025-T2,Diminution,73.4,14.8,73.4,11.8,Diminution,True
z_34.5_-1.5,2025,3,2025-T3,Diminution,53.2,20.1,53.2,26.7,Diminution,True
z_34.5_-10.5,2023,1,2023-T1,Diminution,88.2,2.5,88.2,9.3,Diminution,True
z_34.5_-10.5,2023,4,2023-T4,Diminution,88.0,2.8,88.0,9.2,Diminution,True
z_34.5_-10.5,2024,1,2024-T1,Diminution,88.2,2.5,88.2,9.3,Stable,False
z_34.5_-10.5,2024,4,2024-T4,Diminution,86.2,2.8,86.2,11.0,Diminution,True
z_34.5_-10.5,2025,1,2025-T1,Diminution,79.7,2.5,79.7,17.7,Diminution,True
z_34.5_-10.5,2025,4,2025-T4,Diminution,88.0,2.8,88.0,9.2,Diminution,True
z_34.5_-4.5,2023,1,2023-T1,Diminution,76.4,7.2,76.4,16.4,Diminution,True
z_34.5_-4.5,2023,2,2023-T2,Stable,48.6,16.7,34.7,48.6,Diminution,False
z_34.5_-4.5,2023,3,2023-T3,Diminution,66.7,14.5,66.7,18.7,Stable,False
z_34.5_-4.5,2023,4,2023-T4,Stable,52.5,6.3,41.2,52.5,Diminution,False
z_34.5_-4.5,2024,1,2024-T1,Diminution,81.6,4.9,81.6,13.5,Diminution,True
z_34.5_-4.5,2024,2,2024-T2,Diminution,52.3,14.6,52.3,33.0,Stable,False
z_34.5_-4.5,2024,3,2024-T3,Diminution,64.9,9.1,64.9,26.0,Diminution,True
z_34.5_-4.5,2024,4,2024-T4,Diminution,52.8,9.2,52.8,38.0,Diminution,True
z_34.5_-4.5,2025,1,2025-T1,Diminution,84.8,7.9,84.8,7.2,Diminution,True
z_34.5_-4.5,2025,2,2025-T2,Stable,52.0,7.7,40.3,52.0,Stable,True
z_34.5_-4.5,2025,3,2025-T3,Diminution,66.1,17.9,66.1,15.9,Diminution,True
z_34.5_-4.5,2025,4,2025-T4,Stable,44.9,14.5,40.6,44.9,Diminution,False
z_34.5_-6.0,2023,1,2023-T1,Diminution,46.5,30.1,46.5,23.4,Stable,False
z_34.5_-6.0,2023,2,2023-T2,Augmentation,45.9,45.9,33.8,20.2,Diminution,False
z_34.5_-6.0,2023,3,2023-T3,Diminution,52.2,24.9,52.2,22.9,Diminution,True
z_34.5_-6.0,2023,4,2023-T4,Diminution,61.9,21.7,61.9,16.5,Diminution,True
z_34.5_-6.0,2024,1,2024-T1,Diminution,48.8,31.0,48.8,20.2,Stable,False
z_34.5_-6.0,2024,2,2024-T2,Augmentation,44.2,44.2,38.2,17.5,Augmentation,True
z_34.5_-6.0,2024,3,2024-T3,Augmentation,44.3,44.3,28.2,27.5,Stable,False
z_34.5_-6.0,2024,4,2024-T4,Augmentation,39.8,39.8,28.6,31.6,Diminution,False
z_34.5_-6.0,2025,1,2025-T1,Augmentation,40.6,40.6,24.8,34.7,Stable,False
z_34.5_-6.0,2025,2,2025-T2,Augmentation,48.4,48.4,24.3,27.3,Diminution,False
z_34.5_-6.0,2025,3,2025-T3,Diminution,40.0,32.9,40.0,27.1,Diminution,True
z_34.5_-6.0,2025,4,2025-T4,Diminution,42.5,28.6,42.5,28.8,Diminution,True
z_34.5_-7.5,2023,1,2023-T1,Diminution,45.1,10.1,45.1,44.7,Diminution,True
z_34.5_-7.5,2023,2,2023-T2,Diminution,57.4,7.2,57.4,35.4,Stable,False
z_34.5_-7.5,2023,3,2023-T3,Diminution,58.3,3.7,58.3,38.0,Diminution,True
z_34.5_-7.5,2023,4,2023-T4,Diminution,56.4,8.0,56.4,35.6,Augmentation,False
z_34.5_-7.5,2024,1,2024-T1,Stable,40.4,21.7,37.9,40.4,Diminution,False
z_34.5_-7.5,2024,2,2024-T2,Stable,46.2,14.2,39.6,46.2,Diminution,False
z_34.5_-7.5,2024,3,2024-T3,Diminution,71.7,5.4,71.7,23.0,Diminution,True
z_34.5_-7.5,2024,4,2024-T4,Diminution,53.9,7.2,53.9,38.9,Diminution,True
z_34.5_-7.5,2025,1,2025-T1,Diminution,46.1,12.5,46.1,41.4,Diminution,True
z_34.5_-7.5,2025,2,2025-T2,Diminution,60.7,6.3,60.7,33.0,Diminution,True
z_34.5_-7.5,2025,3,2025-T3,Diminution,69.9,3.7,69.9,26.4,Diminution,True
z_34.5_-7.5,2025,4,2025-T4,Diminution,56.8,6.5,56.8,36.7,Stable,False
z_34.5_0.0,2023,2,2023-T2,Diminution,71.5,6.9,71.5,21.6,Diminution,True
z_34.5_0.0,2023,3,2023-T3,Diminution,77.9,3.1,77.9,19.0,Diminution,True
z_34.5_0.0,2023,4,2023-T4,Diminution,77.4,2.3,77.4,20.3,Diminution,True
z_34.5_0.0,2024,2,2024-T2,Diminution,66.1,2.8,66.1,31.1,Stable,False
z_34.5_0.0,2024,3,2024-T3,Diminution,63.2,3.0,63.2,33.8,Diminution,True
z_34.5_0.0,2024,4,2024-T4,Diminution,68.9,3.1,68.9,28.0,Diminution,True
z_34.5_0.0,2025,2,2025-T2,Diminution,69.0,3.0,69.0,28.0,Diminution,True
z_34.5_0.0,2025,3,2025-T3,Diminution,77.9,3.1,77.9,19.0,Diminution,True
z_34.5_0.0,2025,4,2025-T4,Diminution,77.4,2.3,77.4,20.3,Diminution,True
z_34.5_12.0,2023,1,2023-T1,Diminution,42.6,17.4,42.6,40.0,Diminution,True
z_34.5_12.0,2023,2,2023-T2,Diminution,75.8,12.4,75.8,11.8,Diminution,True
z_34.5_12.0,2023,3,2023-T3,Diminution,78.9,6.0,78.9,15.1,Stable,False
z_34.5_12.0,2023,4,2023-T4,Diminution,43.3,19.5,43.3,37.2,Diminution,True
z_34.5_12.0,2024,1,2024-T1,Stable,38.7,28.5,32.8,38.7,Diminution,False
z_34.5_12.0,2024,2,2024-T2,Diminution,74.5,10.2,74.5,15.2,Diminution,True
z_34.5_12.0,2024,3,2024-T3,Diminution,84.2,3.7,84.2,12.1,Stable,False
z_34.5_12.0,2024,4,2024-T4,Diminution,52.8,11.3,52.8,35.9,Stable,False
z_34.5_12.0,2025,1,2025-T1,Stable,46.9,25.0,28.1,46.9,Diminution,False
z_34.5_12.0,2025,2,2025-T2,Diminution,59.5,16.4,59.5,24.1,Diminution,True
z_34.5_12.0,2025,3,2025-T3,Diminution,69.0,12.1,69.0,18.9,Diminution,True
z_34.5_12.0,2025,4,2025-T4,Diminution,55.0,7.7,55.0,37.3,Diminution,True
z_34.5_13.5,2023,1,2023-T1,Augmentation,53.8,53.8,12.7,33.5,Stable,False
z_34.5_13.5,2023,2,2023-T2,Augmentation,71.4,71.4,9.0,19.6,Diminution,False
z_34.5_13.5,2023,3,2023-T3,Augmentation,70.2,70.2,8.3,21.5,Augmentation,True
z_34.5_13.5,2023,4,2023-T4,Augmentation,73.1,73.1,8.5,18.4,Augmentation,True
z_34.5_13.5,2024,1,2024-T1,Augmentation,61.3,61.3,10.8,27.9,Augmentation,True
z_34.5_13.5,2024,2,2024-T2,Augmentation,67.7,67.7,9.3,23.0,Augmentation,True
z_34.5_13.5,2024,3,2024-T3,Augmentation,68.8,68.8,7.6,23.6,Augmentation,True
z_34.5_13.5,2024,4,2024-T4,Augmentation,71.0,71.0,8.6,20.3,Augmentation,True
z_34.5_13.5,2025,1,2025-T1,Augmentation,65.8,65.8,9.5,24.7,Augmentation,True
z_34.5_13.5,2025,2,2025-T2,Augmentation,74.8,74.8,8.7,16.5,Diminution,False
z_34.5_13.5,2025,3,2025-T3,Augmentation,72.6,72.6,7.2,20.2,Augmentation,True
z_34.5_13.5,2025,4,2025-T4,Augmentation,68.8,68.8,7.9,23.3,Augmentation,True
z_34.5_16.5,2023,2,2023-T2,Diminution,74.0,7.0,74.0,19.1,Diminution,True
z_34.5_16.5,2024,2,2024-T2,Diminution,73.2,14.2,73.2,12.6,Diminution,True
z_34.5_16.5,2025,2,2025-T2,Diminution,72.3,8.7,72.3,19.0,Diminution,True
z_34.5_18.0,2023,1,2023-T1,Diminution,92.4,1.4,92.4,6.1,Diminution,True
z_34.5_18.0,2024,1,2024-T1,Diminution,92.4,1.4,92.4,6.1,Diminution,True
z_34.5_18.0,2025,1,2025-T1,Diminution,90.2,1.9,90.2,7.9,Diminution,True
z_34.5_19.5,2023,1,2023-T1,Diminution,64.0,8.2,64.0,27.8,Diminution,True
z_34.5_19.5,2023,2,2023-T2,Diminution,85.6,2.8,85.6,11.6,Diminution,True
